"Lon","Lat","Year","ANGE","PAVI","Total","Treatment","Model"
-96.61,39.11,90,7.619048,470.476214,477.142881,"Control","LPJGUESS"
-96.61,39.11,91,7.619048,504.76193,513.333359,"Control","LPJGUESS"
-96.61,39.11,92,8.571429,502.857168,512.380978,"Control","LPJGUESS"
-96.61,39.11,93,8.571429,401.904782,410.476211,"Control","LPJGUESS"
-96.61,39.11,94,12.380953,528.571455,540.952408,"Control","LPJGUESS"
-96.61,39.11,95,11.428572,468.571452,480.000024,"Control","LPJGUESS"
-96.61,39.11,96,17.142858,445.714308,461.904785,"Control","LPJGUESS"
-96.61,39.11,97,17.142858,499.047644,516.190502,"Control","LPJGUESS"
-96.61,39.11,98,20.952382,557.142885,578.095267,"Control","LPJGUESS"
-96.61,39.11,99,15.238096,521.904788,537.142884,"Control","LPJGUESS"
-96.61,39.11,100,7.619048,418.095259,425.714307,"Control","LPJGUESS"
-96.61,39.11,101,6.666667,391.428591,398.095258,"Control","LPJGUESS"
-96.61,39.11,102,5.714286,372.380971,378.095257,"Control","LPJGUESS"
-96.61,39.11,103,5.714286,394.285734,400.00002,"Control","LPJGUESS"
-96.61,39.11,104,9.52381,409.52383,420.000021,"Control","LPJGUESS"
-96.61,39.11,105,14.285715,480.952405,495.23812,"Control","LPJGUESS"
-96.61,39.11,106,14.285715,474.285738,488.571453,"Control","LPJGUESS"
-96.61,39.11,107,14.285715,498.095263,512.380978,"Control","LPJGUESS"
-96.61,39.11,108,18.095239,523.80955,541.904789,"Control","LPJGUESS"
-96.61,39.11,109,13.333334,495.23812,508.571454,"Control","LPJGUESS"
-96.61,39.11,110,25.714287,357.142875,382.857162,"Control","LPJGUESS"
-96.61,39.11,111,36.190478,407.619068,443.809546,"Control","LPJGUESS"
-96.61,39.11,112,45.714288,480.952405,526.666693,"Control","LPJGUESS"
-96.61,39.11,113,34.285716,388.571448,422.857164,"Control","LPJGUESS"
-96.61,39.11,114,24.761906,400.00002,424.761926,"Control","LPJGUESS"
-96.61,39.11,115,22.857144,460.952404,483.809548,"Control","LPJGUESS"
-96.61,39.11,116,17.142858,427.619069,445.714308,"Control","LPJGUESS"
-96.61,39.11,117,11.428572,400.00002,411.428592,"Control","LPJGUESS"
-96.61,39.11,118,20.952382,458.095261,479.047643,"Control","LPJGUESS"
-96.61,39.11,119,22.857144,388.571448,410.476211,"Control","LPJGUESS"
-96.61,39.11,120,22.857144,420.000021,443.809546,"Control","LPJGUESS"
-96.61,39.11,121,26.666668,561.90479,588.571458,"Control","LPJGUESS"
-96.61,39.11,122,34.285716,563.809552,598.095268,"Control","LPJGUESS"
-96.61,39.11,123,26.666668,312.380968,339.047636,"Control","LPJGUESS"
-96.61,39.11,124,36.190478,480.000024,516.190502,"Control","LPJGUESS"
-96.61,39.11,125,31.428573,420.000021,451.428594,"Control","LPJGUESS"
-96.61,39.11,126,31.428573,464.761928,497.142882,"Control","LPJGUESS"
-96.61,39.11,127,30.476192,463.809547,494.285739,"Control","LPJGUESS"
-96.61,39.11,128,40.952383,515.238121,556.190504,"Control","LPJGUESS"
-96.61,39.11,129,28.57143,420.952402,449.523832,"Control","LPJGUESS"
-96.61,39.11,130,23.809525,435.238117,458.095261,"Control","LPJGUESS"
-96.61,39.11,131,22.857144,485.71431,509.523835,"Control","LPJGUESS"
-96.61,39.11,132,14.285715,454.285737,468.571452,"Control","LPJGUESS"
-96.61,39.11,133,13.333334,445.714308,459.047642,"Control","LPJGUESS"
-96.61,39.11,134,9.52381,345.714303,355.238113,"Control","LPJGUESS"
-96.61,39.11,135,15.238096,531.428598,545.714313,"Control","LPJGUESS"
-96.61,39.11,136,14.285715,487.619072,501.904787,"Control","LPJGUESS"
-96.61,39.11,137,12.380953,430.476212,441.904784,"Control","LPJGUESS"
-96.61,39.11,138,5.714286,352.38097,358.095256,"Control","LPJGUESS"
-96.61,39.11,139,6.666667,425.714307,432.380974,"Control","LPJGUESS"
-96.61,39.11,140,11.428572,565.714314,577.142886,"Control","LPJGUESS"
-96.61,39.11,141,9.52381,358.095256,367.619066,"Control","LPJGUESS"
-96.61,39.11,142,9.52381,503.809549,513.333359,"Control","LPJGUESS"
-96.61,39.11,143,9.52381,474.285738,483.809548,"Control","LPJGUESS"
-96.61,39.11,144,7.619048,417.142878,424.761926,"Control","LPJGUESS"
-96.61,39.11,145,6.666667,479.047643,485.71431,"Control","LPJGUESS"
-96.61,39.11,146,4.761905,463.809547,468.571452,"Control","LPJGUESS"
-96.61,39.11,147,3.809524,410.476211,415.238116,"Control","LPJGUESS"
-96.61,39.11,148,3.809524,469.523833,474.285738,"Control","LPJGUESS"
-96.61,39.11,149,11.428572,408.571449,420.952402,"Control","LPJGUESS"
-96.61,39.11,150,20.000001,454.285737,475.238119,"Control","LPJGUESS"
-96.61,39.11,151,24.761906,461.904785,486.666691,"Control","LPJGUESS"
-96.61,39.11,152,19.04762,445.714308,464.761928,"Control","LPJGUESS"
-96.61,39.11,153,29.523811,592.380982,621.904793,"Control","LPJGUESS"
-96.61,39.11,154,22.857144,390.47621,414.285735,"Control","LPJGUESS"
-96.61,39.11,155,19.04762,505.714311,525.714312,"Control","LPJGUESS"
-96.61,39.11,156,14.285715,486.666691,500.952406,"Control","LPJGUESS"
-96.61,39.11,157,16.190477,505.714311,521.904788,"Control","LPJGUESS"
-96.61,39.11,158,14.285715,468.571452,482.857167,"Control","LPJGUESS"
-96.61,39.11,159,11.428572,396.190496,407.619068,"Control","LPJGUESS"
-96.61,39.11,160,13.333334,487.619072,500.952406,"Control","LPJGUESS"
-96.61,39.11,161,13.333334,452.380975,465.714309,"Control","LPJGUESS"
-96.61,39.11,162,12.380953,416.190497,429.523831,"Control","LPJGUESS"
-96.61,39.11,163,14.285715,540.952408,554.285742,"Control","LPJGUESS"
-96.61,39.11,164,6.666667,405.714306,412.380973,"Control","LPJGUESS"
-96.61,39.11,165,7.619048,408.571449,416.190497,"Control","LPJGUESS"
-96.61,39.11,166,14.285715,470.476214,483.809548,"Control","LPJGUESS"
-96.61,39.11,167,15.238096,447.61907,462.857166,"Control","LPJGUESS"
-96.61,39.11,168,15.238096,449.523832,464.761928,"Control","LPJGUESS"
-96.61,39.11,169,22.857144,563.809552,585.714315,"Control","LPJGUESS"
-96.61,39.11,170,24.761906,569.523838,593.333363,"Control","LPJGUESS"
-96.61,39.11,171,11.428572,395.238115,406.666687,"Control","LPJGUESS"
-96.61,39.11,172,17.142858,545.714313,562.857171,"Control","LPJGUESS"
-96.61,39.11,173,21.904763,505.714311,528.571455,"Control","LPJGUESS"
-96.61,39.11,174,27.619049,412.380973,440.000022,"Control","LPJGUESS"
-96.61,39.11,175,27.619049,362.857161,390.47621,"Control","LPJGUESS"
-96.61,39.11,176,48.571431,610.476221,659.047652,"Control","LPJGUESS"
-96.61,39.11,177,48.571431,475.238119,523.80955,"Control","LPJGUESS"
-96.61,39.11,178,30.476192,369.523828,400.00002,"Control","LPJGUESS"
-96.61,39.11,179,32.380954,400.00002,432.380974,"Control","LPJGUESS"
-96.61,39.11,180,25.714287,428.57145,455.238118,"Control","LPJGUESS"
-96.61,39.11,181,20.952382,418.095259,440.000022,"Control","LPJGUESS"
-96.61,39.11,182,19.04762,400.952401,420.000021,"Control","LPJGUESS"
-96.61,39.11,183,22.857144,453.333356,476.1905,"Control","LPJGUESS"
-96.61,39.11,184,26.666668,463.809547,491.428596,"Control","LPJGUESS"
-96.61,39.11,185,21.904763,442.857165,464.761928,"Control","LPJGUESS"
-96.61,39.11,186,26.666668,446.666689,473.333357,"Control","LPJGUESS"
-96.61,39.11,187,23.809525,489.523834,513.333359,"Control","LPJGUESS"
-96.61,39.11,188,17.142858,451.428594,468.571452,"Control","LPJGUESS"
-96.61,39.11,189,13.333334,415.238116,428.57145,"Control","LPJGUESS"
-96.61,39.11,190,9.52381,415.238116,425.714307,"Control","LPJGUESS"
-96.61,39.11,191,12.380953,441.904784,454.285737,"Control","LPJGUESS"
-96.61,39.11,192,13.333334,529.523836,542.85717,"Control","LPJGUESS"
-96.61,39.11,193,9.52381,392.380972,401.904782,"Control","LPJGUESS"
-96.61,39.11,194,10.476191,460.000023,470.476214,"Control","LPJGUESS"
-96.61,39.11,195,8.571429,431.428593,440.952403,"Control","LPJGUESS"
-96.61,39.11,196,10.476191,525.714312,536.190503,"Control","LPJGUESS"
-96.61,39.11,197,9.52381,426.666688,435.238117,"Control","LPJGUESS"
-96.61,39.11,198,8.571429,438.09526,446.666689,"Control","LPJGUESS"
-96.61,39.11,199,6.666667,477.142881,483.809548,"Control","LPJGUESS"
-96.61,39.11,200,8.571429,402.857163,411.428592,"Control","LPJGUESS"
-96.61,39.11,201,9.52381,455.238118,464.761928,"Control","LPJGUESS"
-96.61,39.11,202,7.619048,430.476212,438.09526,"Control","LPJGUESS"
-96.61,39.11,203,10.476191,588.571458,599.047649,"Control","LPJGUESS"
-96.61,39.11,204,7.619048,466.66669,474.285738,"Control","LPJGUESS"
-96.61,39.11,205,11.428572,499.047644,511.428597,"Control","LPJGUESS"
-96.61,39.11,206,28.57143,372.380971,401.904782,"Control","LPJGUESS"
-96.61,39.11,207,37.142859,444.761927,481.904786,"Control","LPJGUESS"
-96.61,39.11,208,50.476193,569.523838,620.000031,"Control","LPJGUESS"
-96.61,39.11,209,27.619049,393.333353,420.952402,"Control","LPJGUESS"
-96.61,39.11,210,22.857144,449.523832,472.380976,"Control","LPJGUESS"
-96.61,39.11,211,17.142858,460.000023,477.142881,"Control","LPJGUESS"
-96.61,39.11,212,12.380953,563.809552,576.190505,"Control","LPJGUESS"
-96.61,39.11,213,10.476191,462.857166,473.333357,"Control","LPJGUESS"
-96.61,39.11,214,10.476191,417.142878,427.619069,"Control","LPJGUESS"
-96.61,39.11,215,17.142858,501.904787,519.047645,"Control","LPJGUESS"
-96.61,39.11,216,20.000001,446.666689,466.66669,"Control","LPJGUESS"
-96.61,39.11,217,21.904763,537.142884,559.047647,"Control","LPJGUESS"
-96.61,39.11,218,11.428572,422.857164,435.238117,"Control","LPJGUESS"
-96.61,39.11,219,11.428572,402.857163,414.285735,"Control","LPJGUESS"
-96.61,39.11,220,7.619048,390.47621,398.095258,"Control","LPJGUESS"
-96.61,39.11,221,9.52381,550.476218,560.000028,"Control","LPJGUESS"
-96.61,39.11,222,7.619048,458.095261,465.714309,"Control","LPJGUESS"
-96.61,39.11,223,9.52381,658.095271,666.6667,"Control","LPJGUESS"
-96.61,39.11,224,2.857143,351.428589,354.285732,"Control","LPJGUESS"
-96.61,39.11,225,5.714286,407.619068,413.333354,"Control","LPJGUESS"
-96.61,39.11,226,3.809524,400.00002,403.809544,"Control","LPJGUESS"
-96.61,39.11,227,8.571429,468.571452,478.095262,"Control","LPJGUESS"
-96.61,39.11,228,9.52381,457.14288,466.66669,"Control","LPJGUESS"
-96.61,39.11,229,10.476191,409.52383,420.000021,"Control","LPJGUESS"
-96.61,39.11,230,15.238096,660.952414,675.238129,"Control","LPJGUESS"
-96.61,39.11,231,5.714286,410.476211,416.190497,"Control","LPJGUESS"
-96.61,39.11,232,6.666667,499.047644,505.714311,"Control","LPJGUESS"
-96.61,39.11,233,6.666667,374.285733,380.9524,"Control","LPJGUESS"
-96.61,39.11,234,8.571429,511.428597,520.000026,"Control","LPJGUESS"
-96.61,39.11,235,5.714286,403.809544,409.52383,"Control","LPJGUESS"
-96.61,39.11,236,3.809524,386.666686,390.47621,"Control","LPJGUESS"
-96.61,39.11,237,4.761905,540.000027,544.761932,"Control","LPJGUESS"
-96.61,39.11,238,1.904762,432.380974,433.333355,"Control","LPJGUESS"
-96.61,39.11,239,1.904762,476.1905,478.095262,"Control","LPJGUESS"
-96.61,39.11,240,5.714286,504.76193,511.428597,"Control","LPJGUESS"
-96.61,39.11,241,14.285715,634.285746,648.571461,"Control","LPJGUESS"
-96.61,39.11,242,17.142858,420.952402,439.047641,"Control","LPJGUESS"
-96.61,39.11,243,17.142858,411.428592,428.57145,"Control","LPJGUESS"
-96.61,39.11,244,23.809525,433.333355,457.14288,"Control","LPJGUESS"
-96.61,39.11,245,25.714287,508.571454,535.238122,"Control","LPJGUESS"
-96.61,39.11,246,16.190477,392.380972,409.52383,"Control","LPJGUESS"
-96.61,39.11,247,20.952382,555.238123,577.142886,"Control","LPJGUESS"
-96.61,39.11,248,12.380953,421.904783,434.285736,"Control","LPJGUESS"
-96.61,39.11,249,11.428572,420.952402,432.380974,"Control","LPJGUESS"
-96.61,39.11,250,7.619048,420.952402,428.57145,"Control","LPJGUESS"
-96.61,39.11,251,9.52381,408.571449,418.095259,"Control","LPJGUESS"
-96.61,39.11,252,12.380953,565.714314,579.047648,"Control","LPJGUESS"
-96.61,39.11,253,10.476191,383.809543,395.238115,"Control","LPJGUESS"
-96.61,39.11,254,17.142858,531.428598,549.523837,"Control","LPJGUESS"
-96.61,39.11,255,16.190477,491.428596,507.619073,"Control","LPJGUESS"
-96.61,39.11,256,12.380953,414.285735,425.714307,"Control","LPJGUESS"
-96.61,39.11,257,11.428572,510.476216,521.904788,"Control","LPJGUESS"
-96.61,39.11,258,15.238096,562.857171,578.095267,"Control","LPJGUESS"
-96.61,39.11,259,16.190477,454.285737,470.476214,"Control","LPJGUESS"
-96.61,39.11,260,14.285715,400.00002,413.333354,"Control","LPJGUESS"
-96.61,39.11,261,16.190477,443.809546,460.000023,"Control","LPJGUESS"
-96.61,39.11,262,19.04762,513.333359,532.380979,"Control","LPJGUESS"
-96.61,39.11,263,11.428572,348.571446,360.000018,"Control","LPJGUESS"
-96.61,39.11,264,11.428572,427.619069,440.000022,"Control","LPJGUESS"
-96.61,39.11,265,9.52381,439.047641,449.523832,"Control","LPJGUESS"
-96.61,39.11,266,4.761905,431.428593,436.190498,"Control","LPJGUESS"
-96.61,39.11,267,4.761905,511.428597,516.190502,"Control","LPJGUESS"
-96.61,39.11,268,2.857143,480.000024,482.857167,"Control","LPJGUESS"
-96.61,39.11,269,3.809524,543.809551,547.619075,"Control","LPJGUESS"
-96.61,39.11,270,4.761905,429.523831,434.285736,"Control","LPJGUESS"
-96.61,39.11,271,9.52381,471.428595,480.952405,"Control","LPJGUESS"
-96.61,39.11,272,10.476191,362.857161,372.380971,"Control","LPJGUESS"
-96.61,39.11,273,11.428572,500.952406,512.380978,"Control","LPJGUESS"
-96.61,39.11,274,14.285715,675.238129,689.523844,"Control","LPJGUESS"
-96.61,39.11,275,13.333334,598.095268,611.428602,"Control","LPJGUESS"
-96.61,39.11,276,9.52381,433.333355,441.904784,"Control","LPJGUESS"
-96.61,39.11,277,4.761905,391.428591,396.190496,"Control","LPJGUESS"
-96.61,39.11,278,5.714286,506.666692,512.380978,"Control","LPJGUESS"
-96.61,39.11,279,7.619048,453.333356,460.952404,"Control","LPJGUESS"
-96.61,39.11,280,15.238096,490.476215,506.666692,"Control","LPJGUESS"
-96.61,39.11,281,17.142858,348.571446,365.714304,"Control","LPJGUESS"
-96.61,39.11,282,19.04762,430.476212,449.523832,"Control","LPJGUESS"
-96.61,39.11,283,22.857144,550.476218,574.285743,"Control","LPJGUESS"
-96.61,39.11,284,21.904763,479.047643,501.904787,"Control","LPJGUESS"
-96.61,39.11,285,19.04762,460.952404,480.000024,"Control","LPJGUESS"
-96.61,39.11,286,19.04762,481.904786,500.952406,"Control","LPJGUESS"
-96.61,39.11,287,18.095239,473.333357,492.380977,"Control","LPJGUESS"
-96.61,39.11,288,19.04762,529.523836,548.571456,"Control","LPJGUESS"
-96.61,39.11,289,16.190477,503.809549,520.000026,"Control","LPJGUESS"
-96.61,39.11,290,13.333334,504.76193,518.095264,"Control","LPJGUESS"
-96.61,39.11,291,10.476191,546.666694,556.190504,"Control","LPJGUESS"
-96.61,39.11,292,4.761905,482.857167,487.619072,"Control","LPJGUESS"
-96.61,39.11,293,2.857143,646.666699,649.523842,"Control","LPJGUESS"
-96.61,39.11,294,0,390.47621,390.47621,"Control","LPJGUESS"
-96.61,39.11,295,1.904762,403.809544,405.714306,"Control","LPJGUESS"
-96.61,39.11,296,3.809524,524.761931,528.571455,"Control","LPJGUESS"
-96.61,39.11,297,6.666667,640.952413,647.61908,"Control","LPJGUESS"
-96.61,39.11,298,5.714286,373.333352,380.000019,"Control","LPJGUESS"
-96.61,39.11,299,12.380953,414.285735,426.666688,"Control","LPJGUESS"
-96.61,39.11,300,18.095239,467.619071,485.71431,"Control","LPJGUESS"
-96.61,39.11,301,19.04762,453.333356,472.380976,"Control","LPJGUESS"
-96.61,39.11,302,24.761906,610.476221,635.238127,"Control","LPJGUESS"
-96.61,39.11,303,20.952382,413.333354,433.333355,"Control","LPJGUESS"
-96.61,39.11,304,18.095239,472.380976,490.476215,"Control","LPJGUESS"
-96.61,39.11,305,13.333334,464.761928,478.095262,"Control","LPJGUESS"
-96.61,39.11,306,13.333334,491.428596,504.76193,"Control","LPJGUESS"
-96.61,39.11,307,12.380953,482.857167,495.23812,"Control","LPJGUESS"
-96.61,39.11,308,15.238096,530.476217,545.714313,"Control","LPJGUESS"
-96.61,39.11,309,9.52381,424.761926,434.285736,"Control","LPJGUESS"
-96.61,39.11,310,9.52381,532.380979,541.904789,"Control","LPJGUESS"
-96.61,39.11,311,7.619048,449.523832,457.14288,"Control","LPJGUESS"
-96.61,39.11,312,8.571429,475.238119,483.809548,"Control","LPJGUESS"
-96.61,39.11,313,7.619048,434.285736,441.904784,"Control","LPJGUESS"
-96.61,39.11,314,8.571429,381.904781,390.47621,"Control","LPJGUESS"
-96.61,39.11,315,7.619048,400.00002,407.619068,"Control","LPJGUESS"
-96.61,39.11,316,13.333334,356.190494,369.523828,"Control","LPJGUESS"
-96.61,39.11,317,15.238096,497.142882,511.428597,"Control","LPJGUESS"
-96.61,39.11,318,10.476191,434.285736,444.761927,"Control","LPJGUESS"
-96.61,39.11,319,13.333334,471.428595,484.761929,"Control","LPJGUESS"
-96.61,39.11,320,13.333334,500.952406,514.28574,"Control","LPJGUESS"
-96.61,39.11,321,10.476191,600.00003,610.476221,"Control","LPJGUESS"
-96.61,39.11,322,1.904762,458.095261,460.000023,"Control","LPJGUESS"
-96.61,39.11,323,4.761905,460.952404,465.714309,"Control","LPJGUESS"
-96.61,39.11,324,13.333334,463.809547,477.142881,"Control","LPJGUESS"
-96.61,39.11,325,24.761906,448.571451,473.333357,"Control","LPJGUESS"
-96.61,39.11,326,22.857144,413.333354,437.142879,"Control","LPJGUESS"
-96.61,39.11,327,21.904763,437.142879,458.095261,"Control","LPJGUESS"
-96.61,39.11,328,17.142858,423.809545,440.952403,"Control","LPJGUESS"
-96.61,39.11,329,16.190477,493.333358,509.523835,"Control","LPJGUESS"
-96.61,39.11,330,10.476191,447.61907,457.14288,"Control","LPJGUESS"
-96.61,39.11,331,6.666667,458.095261,463.809547,"Control","LPJGUESS"
-96.61,39.11,332,10.476191,505.714311,516.190502,"Control","LPJGUESS"
-96.61,39.11,333,13.333334,586.666696,600.00003,"Control","LPJGUESS"
-96.61,39.11,334,41.904764,378.095257,419.04764,"Control","LPJGUESS"
-96.61,39.11,335,47.61905,418.095259,465.714309,"Control","LPJGUESS"
-96.61,39.11,336,64.761908,564.761933,629.523841,"Control","LPJGUESS"
-96.61,39.11,337,60.952384,537.142884,598.095268,"Control","LPJGUESS"
-96.61,39.11,338,64.761908,308.571444,373.333352,"Control","LPJGUESS"
-96.61,39.11,339,70.476194,387.619067,458.095261,"Control","LPJGUESS"
-96.61,39.11,340,65.714289,385.714305,451.428594,"Control","LPJGUESS"
-96.61,39.11,341,47.61905,369.523828,416.190497,"Control","LPJGUESS"
-96.61,39.11,342,46.666669,460.952404,507.619073,"Control","LPJGUESS"
-96.61,39.11,343,53.333336,479.047643,532.380979,"Control","LPJGUESS"
-96.61,39.11,344,33.333335,450.476213,483.809548,"Control","LPJGUESS"
-96.61,39.11,345,17.142858,396.190496,413.333354,"Control","LPJGUESS"
-96.61,39.11,346,7.619048,423.809545,431.428593,"Control","LPJGUESS"
-96.61,39.11,347,8.571429,535.238122,543.809551,"Control","LPJGUESS"
-96.61,39.11,348,8.571429,511.428597,519.047645,"Control","LPJGUESS"
-96.61,39.11,349,8.571429,485.71431,494.285739,"Control","LPJGUESS"
-96.61,39.11,350,6.666667,427.619069,434.285736,"Control","LPJGUESS"
-96.61,39.11,351,11.428572,508.571454,520.000026,"Control","LPJGUESS"
-96.61,39.11,352,13.333334,461.904785,476.1905,"Control","LPJGUESS"
-96.61,39.11,353,14.285715,429.523831,442.857165,"Control","LPJGUESS"
-96.61,39.11,354,21.904763,371.42859,394.285734,"Control","LPJGUESS"
-96.61,39.11,355,45.714288,580.000029,625.714317,"Control","LPJGUESS"
-96.61,39.11,356,37.142859,354.285732,392.380972,"Control","LPJGUESS"
