year,month,day,transect,soil_moist_volumetric
2007,8,31,control,0.122964
2007,8,31,irrigated,0.197416
2007,9,1,control,0.114287
2007,9,1,irrigated,0.184225
2007,9,2,control,0.106347
2007,9,2,irrigated,0.205553
2007,9,3,control,0.099907
2007,9,3,irrigated,0.297859
2007,9,4,control,0.094456
2007,9,4,irrigated,0.275826
2007,9,5,control,0.091383
2007,9,5,irrigated,0.262956
2007,9,6,control,0.088861
2007,9,6,irrigated,0.251197
2007,9,7,control,0.205369
2007,9,7,irrigated,0.31067
2007,9,8,control,0.190137
2007,9,8,irrigated,0.278146
2007,9,9,control,0.177459
2007,9,9,irrigated,0.261665
2007,9,10,control,0.173014
2007,9,10,irrigated,0.256962
2007,9,11,control,0.170361
2007,9,11,irrigated,0.257902
2007,9,12,control,0.161619
2007,9,12,irrigated,0.246929
2007,9,13,control,0.152917
2007,9,13,irrigated,0.237034
2007,9,14,control,0.141921
2007,9,14,irrigated,0.217675
2007,9,15,control,0.136169
2007,9,15,irrigated,0.206238
2007,9,16,control,0.135909
2007,9,16,irrigated,0.207098
2007,9,17,control,0.136742
2007,9,17,irrigated,0.21045
2007,9,18,control,0.142994
2007,9,18,irrigated,0.220768
2007,9,19,control,0.140893
2007,9,19,irrigated,0.221192
2007,9,20,control,0.134717
2007,9,20,irrigated,0.21348
2007,9,21,control,0.12649
2007,9,21,irrigated,0.201199
2007,9,22,control,0.118504
2007,9,22,irrigated,0.186872
2007,9,23,control,0.113636
2007,9,23,irrigated,0.179628
2007,9,24,control,0.108418
2007,9,24,irrigated,0.17279
2007,9,25,control,0.102348
2007,9,25,irrigated,0.161854
2007,9,26,control,0.095712
2007,9,26,irrigated,0.149835
2007,9,27,control,0.092417
2007,9,27,irrigated,0.144842
2007,9,28,control,0.088655
2007,9,28,irrigated,0.139107
2007,9,29,control,0.086922
2007,9,29,irrigated,0.137184
2007,9,30,control,0.084247
2007,9,30,irrigated,0.132728
2008,5,1,control,0.163179
2008,5,1,irrigated,0.198874
2008,5,2,control,0.149349
2008,5,2,irrigated,0.183204
2008,5,3,control,0.137155
2008,5,3,irrigated,0.168593
2008,5,4,control,0.131538
2008,5,4,irrigated,0.162532
2008,5,5,control,0.125824
2008,5,5,irrigated,0.156321
2008,5,6,control,0.123564
2008,5,6,irrigated,0.153874
2008,5,7,control,0.122802
2008,5,7,irrigated,0.153965
2008,5,8,control,0.119807
2008,5,8,irrigated,0.149299
2008,5,9,control,0.130302
2008,5,9,irrigated,0.165162
2008,5,10,control,0.119397
2008,5,10,irrigated,0.150596
2008,5,11,control,0.116488
2008,5,11,irrigated,0.145659
2008,5,12,control,0.113232
2008,5,12,irrigated,0.137903
2008,5,13,control,0.109106
2008,5,13,irrigated,0.13031
2008,5,14,control,0.103726
2008,5,14,irrigated,0.12241
2008,5,15,control,0.099986
2008,5,15,irrigated,0.116342
2008,5,16,control,0.095534
2008,5,16,irrigated,0.108303
2008,5,17,control,0.088468
2008,5,17,irrigated,0.097152
2008,5,18,control,0.079586
2008,5,18,irrigated,0.084904
2008,5,19,control,0.073635
2008,5,19,irrigated,0.076033
2008,5,20,control,0.067114
2008,5,20,irrigated,0.067564
2008,5,21,control,0.06057
2008,5,21,irrigated,0.059162
2008,5,22,control,0.059422
2008,5,22,irrigated,0.05675
2008,5,23,control,0.058513
2008,5,23,irrigated,0.055204
2008,5,24,control,0.099893
2008,5,24,irrigated,0.089284
2008,5,25,control,0.108998
2008,5,25,irrigated,0.095904
2008,5,26,control,0.226965
2008,5,26,irrigated,0.227034
2008,5,27,control,0.240637
2008,5,27,irrigated,0.268702
2008,5,28,control,0.219131
2008,5,28,irrigated,0.239516
2008,5,29,control,0.207357
2008,5,29,irrigated,0.226571
2008,5,30,control,0.195186
2008,5,30,irrigated,0.210298
2008,5,31,control,0.171527
2008,5,31,irrigated,0.179754
2008,6,1,control,0.154089
2008,6,1,irrigated,0.158824
2008,6,2,control,0.20698
2008,6,2,irrigated,0.225391
2008,6,3,control,0.24849
2008,6,3,irrigated,0.268835
2008,6,4,control,0.22144
2008,6,4,irrigated,0.242208
2008,6,5,control,0.219326
2008,6,5,irrigated,0.239901
2008,6,6,control,0.298452
2008,6,6,irrigated,0.291522
2008,6,7,control,0.28196
2008,6,7,irrigated,0.260345
2008,6,8,control,0.272515
2008,6,8,irrigated,0.234345
2008,6,9,control,0.268535
2008,6,9,irrigated,0.215328
2008,6,10,control,0.25299
2008,6,10,irrigated,0.186555
2008,6,11,control,0.29708
2008,6,11,irrigated,0.239281
2008,6,12,control,0.337422
2008,6,12,irrigated,0.313858
2008,6,13,control,0.306151
2008,6,13,irrigated,0.277146
2008,6,14,control,0.282385
2008,6,14,irrigated,0.240066
2008,6,15,control,0.269323
2008,6,15,irrigated,0.215948
2008,6,16,control,0.298641
2008,6,16,irrigated,0.257616
2008,6,17,control,0.278644
2008,6,17,irrigated,0.239953
2008,6,18,control,0.30286
2008,6,18,irrigated,0.278861
2008,6,19,control,0.299061
2008,6,19,irrigated,0.278633
2008,6,20,control,0.316101
2008,6,20,irrigated,0.304491
2008,6,21,control,0.288433
2008,6,21,irrigated,0.266217
2008,6,22,control,0.265127
2008,6,22,irrigated,0.235655
2008,6,23,control,0.293649
2008,6,23,irrigated,0.268434
2008,6,24,control,0.281833
2008,6,24,irrigated,0.258735
2008,6,25,control,0.266835
2008,6,25,irrigated,0.23723
2008,6,26,control,0.252443
2008,6,26,irrigated,0.222575
2008,6,27,control,0.315808
2008,6,27,irrigated,0.325779
2008,6,28,control,0.282421
2008,6,28,irrigated,0.281855
2008,6,29,control,0.243129
2008,6,29,irrigated,0.241188
2008,6,30,control,0.207227
2008,6,30,irrigated,0.206528
2008,7,1,control,0.18069
2008,7,1,irrigated,0.18003
2008,7,2,control,0.164659
2008,7,2,irrigated,0.162743
2008,7,3,control,0.189492
2008,7,3,irrigated,0.191917
2008,7,4,control,0.17063
2008,7,4,irrigated,0.175127
2008,7,5,control,0.232338
2008,7,5,irrigated,0.246548
2008,7,6,control,0.25184
2008,7,6,irrigated,0.270389
2008,7,7,control,0.214619
2008,7,7,irrigated,0.235738
2008,7,8,control,0.251965
2008,7,8,irrigated,0.280941
2008,7,9,control,0.279707
2008,7,9,irrigated,0.297258
2008,7,10,control,0.257259
2008,7,10,irrigated,0.277339
2008,7,11,control,0.222553
2008,7,11,irrigated,0.247333
2008,7,12,control,0.24168
2008,7,12,irrigated,0.268537
2008,7,13,control,0.251349
2008,7,13,irrigated,0.276634
2008,7,14,control,0.216972
2008,7,14,irrigated,0.245434
2008,7,15,control,0.186933
2008,7,15,irrigated,0.212712
2008,7,16,control,0.164561
2008,7,16,irrigated,0.18484
2008,7,17,control,0.143981
2008,7,17,irrigated,0.159082
2008,7,18,control,0.277368
2008,7,18,irrigated,0.311018
2008,7,19,control,0.264794
2008,7,19,irrigated,0.289919
2008,7,20,control,0.232625
2008,7,20,irrigated,0.262662
2008,7,21,control,0.198806
2008,7,21,irrigated,0.229184
2008,7,22,control,0.17439
2008,7,22,irrigated,0.198874
2008,7,23,control,0.153871
2008,7,23,irrigated,0.171852
2008,7,24,control,0.135807
2008,7,24,irrigated,0.148803
2008,7,25,control,0.120608
2008,7,25,irrigated,0.255595
2008,7,26,control,0.111176
2008,7,26,irrigated,0.297287
2008,7,27,control,0.101751
2008,7,27,irrigated,0.271547
2008,7,28,control,0.095118
2008,7,28,irrigated,0.250375
2008,7,29,control,0.107022
2008,7,29,irrigated,0.278285
2008,7,30,control,0.168956
2008,7,30,irrigated,0.322918
2008,7,31,control,0.155281
2008,7,31,irrigated,0.298054
2008,8,1,control,0.139832
2008,8,1,irrigated,0.2791
2008,8,2,control,0.125804
2008,8,2,irrigated,0.254552
2008,8,3,control,0.107618
2008,8,3,irrigated,0.214664
2008,8,4,control,0.093333
2008,8,4,irrigated,0.176329
2008,8,5,control,0.083831
2008,8,5,irrigated,0.150575
2008,8,6,control,0.078064
2008,8,6,irrigated,0.137816
2008,8,7,control,0.075446
2008,8,7,irrigated,0.250903
2008,8,8,control,0.068649
2008,8,8,irrigated,0.278197
2008,8,9,control,0.204499
2008,8,9,irrigated,0.338142
2008,8,10,control,0.25247
2008,8,10,irrigated,0.293409
2008,8,11,control,0.232168
2008,8,11,irrigated,0.26922
2008,8,12,control,0.251866
2008,8,12,irrigated,0.291352
2008,8,13,control,0.228323
2008,8,13,irrigated,0.268041
2008,8,14,control,0.208102
2008,8,14,irrigated,0.248486
2008,8,15,control,0.190322
2008,8,15,irrigated,0.226086
2008,8,16,control,0.173007
2008,8,16,irrigated,0.203996
2008,8,17,control,0.154317
2008,8,17,irrigated,0.179238
2008,8,18,control,0.141106
2008,8,18,irrigated,0.159725
2008,8,19,control,0.12797
2008,8,19,irrigated,0.141101
2008,8,20,control,0.11723
2008,8,20,irrigated,0.127247
2008,8,21,control,0.112577
2008,8,21,irrigated,0.12235
2008,8,22,control,0.108601
2008,8,22,irrigated,0.117038
2008,8,23,control,0.211194
2008,8,23,irrigated,0.231357
2008,8,24,control,0.225306
2008,8,24,irrigated,0.252798
2008,8,25,control,0.199889
2008,8,25,irrigated,0.226002
2008,8,26,control,0.181251
2008,8,26,irrigated,0.206294
2008,8,27,control,0.171497
2008,8,27,irrigated,0.192182
2008,8,28,control,0.158933
2008,8,28,irrigated,0.171718
2008,8,29,control,0.137487
2008,8,29,irrigated,0.142291
2008,8,30,control,0.122095
2008,8,30,irrigated,0.121413
2008,8,31,control,0.116813
2008,8,31,irrigated,0.113642
2008,9,1,control,0.109847
2008,9,1,irrigated,0.104591
2008,9,2,control,0.102007
2008,9,2,irrigated,0.095233
2008,9,3,control,0.090834
2008,9,3,irrigated,0.082829
2008,9,4,control,0.085854
2008,9,4,irrigated,0.076849
2008,9,5,control,0.080988
2008,9,5,irrigated,0.071695
2008,9,6,control,0.079525
2008,9,6,irrigated,0.070607
2008,9,7,control,0.08062
2008,9,7,irrigated,0.071188
2008,9,8,control,0.189893
2008,9,8,irrigated,0.198709
2008,9,9,control,0.199642
2008,9,9,irrigated,0.210615
2008,9,10,control,0.194107
2008,9,10,irrigated,0.202833
2008,9,11,control,0.207996
2008,9,11,irrigated,0.217698
2008,9,12,control,0.295394
2008,9,12,irrigated,0.331283
2008,9,13,control,0.295197
2008,9,13,irrigated,0.313537
2008,9,14,control,0.251687
2008,9,14,irrigated,0.254971
2008,9,15,control,0.230708
2008,9,15,irrigated,0.222204
2008,9,16,control,0.230753
2008,9,16,irrigated,0.206773
2008,9,17,control,0.234213
2008,9,17,irrigated,0.193377
2008,9,18,control,0.231904
2008,9,18,irrigated,0.175756
2008,9,19,control,0.236016
2008,9,19,irrigated,0.166053
2008,9,20,control,0.237417
2008,9,20,irrigated,0.15432
2008,9,21,control,0.239119
2008,9,21,irrigated,0.143413
2008,9,22,control,0.240693
2008,9,22,irrigated,0.133362
2008,9,23,control,0.240628
2008,9,23,irrigated,0.122659
2008,9,24,control,0.240398
2008,9,24,irrigated,0.114453
2008,9,25,control,0.236622
2008,9,25,irrigated,0.106778
2008,9,26,control,0.230947
2008,9,26,irrigated,0.098571
2008,9,27,control,0.224419
2008,9,27,irrigated,0.09139
2008,9,28,control,0.217413
2008,9,28,irrigated,0.085214
2008,9,29,control,0.208349
2008,9,29,irrigated,0.079831
2008,9,30,control,0.187683
2008,9,30,irrigated,0.068617
2009,5,4,control,0.283235
2009,5,4,irrigated,0.237154
2009,5,5,control,0.273999
2009,5,5,irrigated,0.224597
2009,5,6,control,0.28414
2009,5,6,irrigated,0.232332
2009,5,7,control,0.293632
2009,5,7,irrigated,0.245724
2009,5,8,control,0.298965
2009,5,8,irrigated,0.250836
2009,5,9,control,0.271004
2009,5,9,irrigated,0.232036
2009,5,10,control,0.260067
2009,5,10,irrigated,0.21588
2009,5,11,control,0.260948
2009,5,11,irrigated,0.21628
2009,5,12,control,0.253644
2009,5,12,irrigated,0.212174
2009,5,13,control,0.260605
2009,5,13,irrigated,0.216247
2009,5,14,control,0.245492
2009,5,14,irrigated,0.207195
2009,5,15,control,0.251418
2009,5,15,irrigated,0.208714
2009,5,16,control,0.243031
2009,5,16,irrigated,0.198993
2009,5,17,control,0.231151
2009,5,17,irrigated,0.190339
2009,5,18,control,0.221883
2009,5,18,irrigated,0.17862
2009,5,19,control,0.217745
2009,5,19,irrigated,0.166706
2009,5,20,control,0.207377
2009,5,20,irrigated,0.151167
2009,5,21,control,0.195727
2009,5,21,irrigated,0.137007
2009,5,22,control,0.184984
2009,5,22,irrigated,0.125271
2009,5,23,control,0.174297
2009,5,23,irrigated,0.115994
2009,5,24,control,0.161046
2009,5,24,irrigated,0.105633
2009,5,25,control,0.150741
2009,5,25,irrigated,0.098123
2009,5,26,control,0.142506
2009,5,26,irrigated,0.093641
2009,5,27,control,0.133407
2009,5,27,irrigated,0.088332
2009,5,28,control,0.131105
2009,5,28,irrigated,0.086558
2009,5,29,control,0.125013
2009,5,29,irrigated,0.150709
2009,5,30,control,0.115866
2009,5,30,irrigated,0.187629
2009,5,31,control,0.10356
2009,5,31,irrigated,0.159298
2009,6,1,control,0.093758
2009,6,1,irrigated,0.136894
2009,6,2,control,0.211005
2009,6,2,irrigated,0.252322
2009,6,3,control,0.226622
2009,6,3,irrigated,0.235586
2009,6,4,control,0.201541
2009,6,4,irrigated,0.209628
2009,6,5,control,0.182956
2009,6,5,irrigated,0.192907
2009,6,6,control,0.16584
2009,6,6,irrigated,0.174813
2009,6,7,control,0.166134
2009,6,7,irrigated,0.173939
2009,6,8,control,0.149751
2009,6,8,irrigated,0.155212
2009,6,9,control,0.182262
2009,6,9,irrigated,0.191136
2009,6,10,control,0.221366
2009,6,10,irrigated,0.231933
2009,6,11,control,0.219342
2009,6,11,irrigated,0.228998
2009,6,12,control,0.205634
2009,6,12,irrigated,0.215598
2009,6,13,control,0.185558
2009,6,13,irrigated,0.196727
2009,6,14,control,0.174082
2009,6,14,irrigated,0.183814
2009,6,15,control,0.227425
2009,6,15,irrigated,0.247555
2009,6,16,control,0.263158
2009,6,16,irrigated,0.292694
2009,6,17,control,0.231905
2009,6,17,irrigated,0.249623
2009,6,18,control,0.203302
2009,6,18,irrigated,0.222587
2009,6,19,control,0.176577
2009,6,19,irrigated,0.192932
2009,6,20,control,0.17668
2009,6,20,irrigated,0.191676
2009,6,21,control,0.255035
2009,6,21,irrigated,0.286227
2009,6,22,control,0.222251
2009,6,22,irrigated,0.248462
2009,6,23,control,0.193074
2009,6,23,irrigated,0.216114
2009,6,24,control,0.182293
2009,6,24,irrigated,0.203026
2009,6,25,control,0.241612
2009,6,25,irrigated,0.268155
2009,6,26,control,0.210176
2009,6,26,irrigated,0.24081
2009,6,27,control,0.177301
2009,6,27,irrigated,0.207146
2009,6,28,control,0.149434
2009,6,28,irrigated,0.172831
2009,6,29,control,0.129263
2009,6,29,irrigated,0.147155
2009,6,30,control,0.111961
2009,6,30,irrigated,0.210362
2009,7,1,control,0.098408
2009,7,1,irrigated,0.228411
2009,7,2,control,0.090474
2009,7,2,irrigated,0.201065
2009,7,3,control,0.087962
2009,7,3,irrigated,0.18749
2009,7,4,control,0.2114
2009,7,4,irrigated,0.285643
2009,7,5,control,0.19437
2009,7,5,irrigated,0.251358
2009,7,6,control,0.164851
2009,7,6,irrigated,0.270566
2009,7,7,control,0.140394
2009,7,7,irrigated,0.277901
2009,7,8,control,0.122063
2009,7,8,irrigated,0.24564
2009,7,9,control,0.108793
2009,7,9,irrigated,0.219902
2009,7,10,control,0.099116
2009,7,10,irrigated,0.197381
2009,7,11,control,0.094406
2009,7,11,irrigated,0.184703
2009,7,12,control,0.121661
2009,7,12,irrigated,0.256207
2009,7,13,control,0.124763
2009,7,13,irrigated,0.270385
2009,7,14,control,0.113809
2009,7,14,irrigated,0.246676
2009,7,15,control,0.130332
2009,7,15,irrigated,0.275281
2009,7,16,control,0.124725
2009,7,16,irrigated,0.266659
2009,7,17,control,0.116148
2009,7,17,irrigated,0.304054
2009,7,18,control,0.102292
2009,7,18,irrigated,0.274253
2009,7,19,control,0.091812
2009,7,19,irrigated,0.24414
2009,7,20,control,0.108218
2009,7,20,irrigated,0.265945
2009,7,21,control,0.221115
2009,7,21,irrigated,0.298142
2009,7,22,control,0.198363
2009,7,22,irrigated,0.262091
2009,7,23,control,0.175142
2009,7,23,irrigated,0.241979
2009,7,24,control,0.153102
2009,7,24,irrigated,0.218818
2009,7,25,control,0.147177
2009,7,25,irrigated,0.209838
2009,7,26,control,0.131178
2009,7,26,irrigated,0.188008
2009,7,27,control,0.117482
2009,7,27,irrigated,0.168016
2009,7,28,control,0.153586
2009,7,28,irrigated,0.224488
2009,7,29,control,0.178647
2009,7,29,irrigated,0.260539
2009,7,30,control,0.160678
2009,7,30,irrigated,0.238102
2009,7,31,control,0.138968
2009,7,31,irrigated,0.208007
2009,8,1,control,0.196696
2009,8,1,irrigated,0.27338
2009,8,2,control,0.173655
2009,8,2,irrigated,0.245661
2009,8,3,control,0.149641
2009,8,3,irrigated,0.218324
2009,8,4,control,0.18133
2009,8,4,irrigated,0.271205
2009,8,5,control,0.167856
2009,8,5,irrigated,0.315059
2009,8,6,control,0.15217
2009,8,6,irrigated,0.300017
2009,8,7,control,0.137296
2009,8,7,irrigated,0.277301
2009,8,8,control,0.118623
2009,8,8,irrigated,0.239205
2009,8,9,control,0.107219
2009,8,9,irrigated,0.207893
2009,8,10,control,0.115794
2009,8,10,irrigated,0.227433
2009,8,11,control,0.107669
2009,8,11,irrigated,0.211185
2009,8,12,control,0.097571
2009,8,12,irrigated,0.290197
2009,8,13,control,0.087802
2009,8,13,irrigated,0.291631
2009,8,14,control,0.080727
2009,8,14,irrigated,0.255328
2009,8,15,control,0.076904
2009,8,15,irrigated,0.22927
2009,8,16,control,0.075822
2009,8,16,irrigated,0.216176
2009,8,17,control,0.205599
2009,8,17,irrigated,0.338142
2009,8,18,control,0.216262
2009,8,18,irrigated,0.290333
2009,8,19,control,0.218459
2009,8,19,irrigated,0.295241
2009,8,20,control,0.231716
2009,8,20,irrigated,0.300107
2009,8,21,control,0.203291
2009,8,21,irrigated,0.264289
2009,8,22,control,0.179327
2009,8,22,irrigated,0.236348
2009,8,23,control,0.163518
2009,8,23,irrigated,0.216522
2009,8,24,control,0.151127
2009,8,24,irrigated,0.200908
2009,8,25,control,0.140696
2009,8,25,irrigated,0.188071
2009,8,26,control,0.213078
2009,8,26,irrigated,0.272748
2009,8,27,control,0.22425
2009,8,27,irrigated,0.28713
2009,8,28,control,0.203798
2009,8,28,irrigated,0.261692
2009,8,29,control,0.187534
2009,8,29,irrigated,0.242968
2009,8,30,control,0.170171
2009,8,30,irrigated,0.22226
2009,8,31,control,0.154418
2009,8,31,irrigated,0.20184
2009,9,1,control,0.146336
2009,9,1,irrigated,0.191397
2009,9,2,control,0.141128
2009,9,2,irrigated,0.183613
2009,9,3,control,0.133389
2009,9,3,irrigated,0.17313
2009,9,4,control,0.221968
2009,9,4,irrigated,0.278292
2009,9,5,control,0.209018
2009,9,5,irrigated,0.262573
2009,9,6,control,0.195066
2009,9,6,irrigated,0.24747
2009,9,7,control,0.183218
2009,9,7,irrigated,0.235122
2009,9,8,control,0.173429
2009,9,8,irrigated,0.224379
2009,9,9,control,0.177321
2009,9,9,irrigated,0.224925
2009,9,10,control,0.174063
2009,9,10,irrigated,0.219825
2009,9,11,control,0.164232
2009,9,11,irrigated,0.208377
2009,9,12,control,0.219167
2009,9,12,irrigated,0.271596
2009,9,13,control,0.215331
2009,9,13,irrigated,0.266583
2009,9,14,control,0.199959
2009,9,14,irrigated,0.249947
2009,9,15,control,0.189065
2009,9,15,irrigated,0.237227
2009,9,16,control,0.176806
2009,9,16,irrigated,0.221951
2009,9,17,control,0.16472
2009,9,17,irrigated,0.206336
2009,9,18,control,0.15188
2009,9,18,irrigated,0.18929
2009,9,19,control,0.140614
2009,9,19,irrigated,0.174575
2009,9,20,control,0.135165
2009,9,20,irrigated,0.167386
2009,9,21,control,0.19537
2009,9,21,irrigated,0.239385
2009,9,22,control,0.208424
2009,9,22,irrigated,0.254787
2009,9,23,control,0.196075
2009,9,23,irrigated,0.239465
2009,9,24,control,0.186236
2009,9,24,irrigated,0.228369
2009,9,25,control,0.188138
2009,9,25,irrigated,0.230323
2009,9,26,control,0.212547
2009,9,26,irrigated,0.259326
2009,9,27,control,0.199517
2009,9,27,irrigated,0.245372
2009,9,28,control,0.181297
2009,9,28,irrigated,0.22338
2009,9,29,control,0.16514
2009,9,29,irrigated,0.202738
2009,9,30,control,0.159619
2009,9,30,irrigated,0.196283
2010,5,1,control,0.26084
2010,5,1,irrigated,0.26445
2010,5,2,control,0.256723
2010,5,2,irrigated,0.25339
2010,5,3,control,0.250255
2010,5,3,irrigated,0.24101
2010,5,4,control,0.242508
2010,5,4,irrigated,0.226893
2010,5,5,control,0.236517
2010,5,5,irrigated,0.212984
2010,5,6,control,0.228681
2010,5,6,irrigated,0.199568
2010,5,7,control,0.22616
2010,5,7,irrigated,0.195713
2010,5,8,control,0.215293
2010,5,8,irrigated,0.18353
2010,5,9,control,0.210675
2010,5,9,irrigated,0.177325
2010,5,10,control,0.211551
